GID_1;Site-et-Musee;Janvier;Fevrier;Mars;Avril;Mai;Juin;Juillet;Aout;Septembre;Octobre;Novembre;Decembre;Visites
TUN.23_1;Bardo;5979;4753;1676;0;0;27;164;725;1258;529;122;153;15386
TUN.23_1;Musée Carthage;3335;3118;1094;0;0;20;137;850;1771;1013;98;170;11606
TUN.23_1;Thermes d'Antonin;4159;3581;1583;0;0;24;236;718;930;947;77;159;12414
TUN.23_1;Villas Romaines;259;293;111;0;0;2;40;64;28;24;18;31;870
TUN.23_1;Amphthéatrede Carthage;428;361;182;0;0;3;22;45;40;97;29;14;1221
TUN.23_1;Tophet Salambo;792;626;291;0;0;8;6;55;16;120;11;21;1946
TUN.23_1;Musée Paléo_chritien;0;0;0;0;0;0;0;0;0;0;0;0;0
TUN.23_1;Théatre Romain;211;72;20;0;0;0;6;16;0;6;0;2;333
TUN.8_1;Kairouan;4182;2534;1042;0;0;0;56;49;292;193;1;24;8373
TUN.8_1;Mosquée Okba;1013;713;246;0;0;20;41;97;43;60;1;50;2284
TUN.8_1;Abou Zooma;196;135;56;0;0;8;6;6;4;0;3;5;419
TUN.13_1;Musée El Jem;258;258;149;0;0;2;5;57;12;77;0;7;825
TUN.13_1;Collisée El Jem;6867;5102;2094;0;0;46;327;1330;2352;1697;51;281;20147
TUN.20_1;Musée de Sousse;800;931;424;0;0;2;35;141;161;137;8;40;2679
TUN.15_1;musée bourguiba;67;87;32;0;0;2;3;20;17;10;8;10;256
TUN.16_1;Fort Hammamet;384;366;131;0;0;6;38;50;19;20;5;24;1043
TUN.3_1;Oudhna;310;374;105;0;0;133;8;41;75;34;15;11;1106
TUN.20_1;Ribat de Sousse;1214;1192;334;0;0;5;40;163;211;142;25;46;3372
TUN.15_1;Ribat Monastir;1021;1167;488;0;0;21;101;319;296;176;19;77;3685
TUN.16_1;Kerkouene;1006;682;313;0;0;9;31;66;48;103;8;55;2321
TUN.9_1;Sbeitla;852;669;334;0;0;5;4;16;12;20;2;19;1933
TUN.24_1;Thuburbo Majus;300;197;192;0;0;0;0;3;11;2;1;3;709
TUN.7_1;Bulla Regia  ;313;292;191;0;0;6;27;37;17;29;4;17;933
TUN.2_1;Dougga;1975;1616;702;0;0;14;40;117;73;77;6;51;4671
TUN.19_1;Makthar;35;32;36;0;0;3;1;6;8;7;0;0;128
TUN.4_1;Utique;45;89;53;0;0;47;8;33;10;16;17;25;343
TUN.12_1;Mus.Patri.Trad.Jerba ;188;158;85;0;0;1;11;18;145;128;0;12;746
TUN.7_1;Chimtou ;7;7;2;0;0;0;2;1;1;2;0;1;23
TUN.12_1;Musée de Zarzis;6;5;5;0;0;0;0;3;0;0;0;0;19
TUN.16_1;Musée Nabeul;38;57;56;0;0;0;10;12;1;10;2;0;186
TUN.13_1;Borj Mahdia;136;131;69;0;0;10;14;57;49;25;5;2;498
TUN.12_1;BGM Jerba;422;322;163;0;0;0;15;64;278;245;16;43;1568
TUN.16_1;Haouaria ;27;0;0;0;0;0;0;0;0;0;0;0;27
TUN.16_1;Fort  de Kélibia;447;320;168;0;0;5;27;77;66;79;13;46;1248
TUN.13_1;Musée Mahdia;71;32;33;0;0;3;9;14;15;13;0;6;196
TUN.23_1;Dar ben abdallah;0;0;0;0;0;0;0;0;0;0;0;0;0
TUN.23_1;Mosquée ezzitouna;0;0;0;0;0;0;0;0;0;0;0;0;0
TUN.12_1;Mosquée fadhloun;81;85;54;0;0;1;27;22;16;47;6;3;342
TUN.15_1;A T P Monastir;11;29;4;0;0;4;5;9;8;5;2;0;77
TUN.6_1;Musée de Gafsa;3;0;0;0;0;4;0;1;0;0;0;0;8
TUN.16_1;Pupput Hammamet;63;70;40;0;0;0;18;7;16;4;0;5;223
TUN.17_1;ATP Sfax;0;0;0;0;0;0;0;0;0;0;0;0;0
TUN.17_1;Musée Archéol.Sfax;0;0;0;0;0;0;0;0;0;0;0;0;0
TUN.17_1; Kasbah de Sfax;43;52;13;0;0;2;2;9;4;5;3;7;140
TUN.12_1;Gightis;41;17;14;0;0;2;5;1;11;13;2;5;111
TUN.5_1;ATP Gabés;0;0;0;0;0;0;0;0;0;0;0;0;0
TUN.13_1;Salacta;5;14;12;0;0;0;4;0;0;0;0;0;35
TUN.15_1;Musée Moknine;0;0;0;0;0;0;0;0;0;0;0;0;0
TUN.20_1;Enfidha (fermé);8;9;3;0;0;1;0;3;0;2;1;0;27
TUN.11_1;Kef;19;46;16;0;0;8;12;5;9;8;1;17;141
TUN.15_1;Lamta;0;0;0;0;0;0;0;0;0;0;0;0;0
TUN.8_1;Raqqada;3;18;0;0;0;0;2;1;0;0;0;0;24
TUN.20_1;Les Catacombes ;0;0;0;0;0;0;0;0;0;0;0;0;0
TUN.20_1;Mosquée de Sousse;200;184;54;0;0;2;0;24;17;13;0;0;494
TUN.20_1;Sidi khalifa;0;0;0;0;0;0;0;0;0;0;0;0;0
TUN.10_1;Douz;45;81;51;0;0;4;3;2;3;12;2;4;207
TUN.6_1;Escargotieres Gafsa;0;0;0;0;0;0;0;0;0;0;0;0;0
TUN.16_1;Néapolis;24;42;34;0;0;0;0;2;0;5;1;2;110
